Kode Unit Motor,Tahun Kendaraan,Kilometer,Usia_Kendaraan,Kondisi_Oli,Kondisi_Rem,KM_Terakhir_Ganti_Oli,Bulan_Terakhir_Ganti_Oli,KM_Per_Tahun,Jumlah_Keluhan,Jns Service
MIO-M3 125,2020,9164,1,Baik,Baik,1016,2,9164,0,rutin
ALL-NEW-AEROX,2021,0,0,Perlu Ganti,Baik,0,6,0,1,repair
ALL-NEW-AEROX,2018,38173,3,Perlu Ganti,Perlu Penggantian,2762,6,12724,3,repair
NMAX-NEO-S,2020,9996,1,Kritis,Baik,7320,10,9996,1,rutin
ALL-NEW-AEROX,2021,474,0,Baik,Baik,460,2,474,0,rutin
FREE-GO-S,2018,23100,3,Perlu Ganti,Perlu Penyetelan,1576,5,7700,0,rutin
ALL-NEW-AEROX,2019,21053,2,Kritis,Perlu Penyetelan,5008,11,10526,1,repair
X-MAX-CONNEC,2020,13530,1,Perlu Ganti,Baik,2275,3,13530,0,rutin
ALL-NEW-NMAX,2021,194,0,Kritis,Baik,193,12,194,1,rutin
MT-15,2020,9615,1,Perlu Ganti,Baik,2847,3,9615,0,rutin
ALL-NEW-AEROX,2018,35121,3,Kritis,Perlu Penggantian,246,9,11707,3,repair
MT-15,2021,0,0,Perlu Ganti,Baik,0,5,0,1,rutin
NMAX-NEO-S,2019,32748,2,Baik,Perlu Penggantian,307,1,16374,0,rutin
X-MAX-CONNEC,2020,10894,1,Kritis,Baik,7781,12,10894,2,repair
MIO,2018,25301,3,Kritis,Perlu Penggantian,3132,7,8433,4,repair
XSR 155,2020,9913,1,Kritis,Baik,4042,7,9913,2,repair
MT-15,2019,27653,2,Baik,Perlu Penggantian,1079,4,13826,0,rutin
LEXI,2018,18808,3,Kritis,Perlu Penyetelan,1686,10,6269,2,repair
ALL-NEW-NMAX,2021,0,0,Baik,Baik,0,2,0,0,rutin
MT-15,2020,7235,1,Kritis,Baik,6796,11,7235,2,repair
NMAX-NEO-S,2019,27087,2,Baik,Perlu Penggantian,277,1,13543,2,repair
NMAX-NEO-S,2018,34823,3,Baik,Perlu Penggantian,747,1,11607,2,repair
MIO,2018,18901,3,Kritis,Perlu Penyetelan,3031,10,6300,0,rutin
ALL-NEW-AEROX,2021,0,0,Kritis,Baik,0,8,0,2,repair
ALL-NEW-AEROX,2019,23767,2,Perlu Ganti,Perlu Penyetelan,2162,6,11883,0,rutin
ALL-NEW-AEROX,2018,25695,3,Perlu Ganti,Perlu Penggantian,1725,6,8565,2,repair
ALL-NEW-AEROX,2021,0,0,Kritis,Baik,0,12,0,0,rutin
MIO-M3 125,2020,5996,1,Baik,Baik,763,3,5996,0,rutin
MIO-M3 125,2020,6995,1,Kritis,Baik,2197,11,6995,0,rutin
ALL-NEW-NMAX,2021,0,0,Perlu Ganti,Baik,0,5,0,0,rutin
MIO,2021,0,0,Baik,Baik,0,1,0,0,rutin
ALL-NEW-AEROX,2021,0,0,Kritis,Baik,0,9,0,0,rutin
FREE-GO-S,2020,10906,1,Kritis,Baik,4748,7,10906,1,rutin
FILANO-NEO,2020,9165,1,Baik,Baik,946,4,9165,0,rutin
ALL-NEW-AEROX,2021,478,0,Perlu Ganti,Baik,373,6,478,0,rutin
LEXI,2018,27047,3,Baik,Perlu Penggantian,1071,4,9015,1,repair
X-MAX-CONNEC,2021,137,0,Perlu Ganti,Baik,21,5,137,0,rutin
