Tgl FJB,No FJB,Kode Cust,Kode Unit Motor,Tahun Kendaraan,Kilometer,Jns Service,Kondisi_Oli,Kondisi_Rem,Bulan_Terakhir_Ganti_Oli,KM_Terakhir_Ganti_Oli,Usia_Kendaraan,Jumlah_Keluhan,KM_Per_Tahun
01-01-2021,FJB/8805/SBY/PL/5464,SBY7386725,MIO-M3 125,2020,9164,Rutin,Baik,Baik,2,1016,1,0,9164
01-01-2021,FJB/8174/SBY/PL/7562,SBY1585176,ALL-NEW-AEROX,2021,0,Repair,Perlu Ganti,Baik,6,0,0,1,0
01-01-2021,FJB/5711/SBY/PL/4927,SBY8751184,ALL-NEW-AEROX,2018,38173,Repair,Perlu Ganti,Perlu Penggantian,6,2762,3,3,12724
02-01-2021,FJB/2352/SBY/PL/2606,SBY5147043,NMAX-NEO-S,2020,9996,Kupon Gratis III (TIGA),Kritis,Baik,10,7320,1,1,9996
02-01-2021,FJB/4220/SBY/PL/1922,SBY6175589,ALL-NEW-AEROX,2021,474,Rutin,Baik,Baik,2,460,0,0,474
02-01-2021,FJB/4113/SBY/PL/8622,SBY1633320,FREE-GO-S,2018,23100,Rutin,Perlu Ganti,Perlu Penyetelan,5,1576,3,0,7700
02-01-2021,FJB/3982/SBY/PL/1700,SBY4752167,ALL-NEW-AEROX,2019,21053,Repair,Kritis,Perlu Penyetelan,11,5008,2,1,10526
02-01-2021,FJB/2308/SBY/PL/2508,SBY5743568,X-MAX-CONNEC,2020,13530,Rutin,Perlu Ganti,Baik,3,2275,1,0,13530
02-01-2021,FJB/2480/SBY/PL/6888,SBY1538060,ALL-NEW-NMAX,2021,194,Kupon Gratis II (TIGA),Kritis,Baik,12,193,0,1,194
02-01-2021,FJB/3053/SBY/PL/6459,SBY2598254,MT-15,2020,9615,Rutin,Perlu Ganti,Baik,3,2847,1,0,9615
03-01-2021,FJB/6711/SBY/PL/7837,SBY6548148,ALL-NEW-AEROX,2018,35121,Repair,Kritis,Perlu Penggantian,9,246,3,3,11707
03-01-2021,FJB/5309/SBY/PL/4143,SBY7302180,MT-15,2021,0,Rutin,Perlu Ganti,Baik,5,0,0,1,0
03-01-2021,FJB/6105/SBY/PL/8450,SBY9368319,NMAX-NEO-S,2019,32748,Rutin,Baik,Perlu Penggantian,1,307,2,0,16374
03-01-2021,FJB/7126/SBY/PL/2314,SBY1202145,X-MAX-CONNEC,2020,10894,Repair,Kritis,Baik,12,7781,1,2,10894
03-01-2021,FJB/7336/SBY/PL/6909,SBY8207739,MIO,2018,25301,Repair,Kritis,Perlu Penggantian,7,3132,3,4,8433
03-01-2021,FJB/9049/SBY/PL/2593,SBY9032438,XSR 155,2020,9913,Repair,Kritis,Baik,7,4042,1,2,9913
03-01-2021,FJB/5741/SBY/PL/9441,SBY3853406,MT-15,2019,27653,Rutin,Baik,Perlu Penggantian,4,1079,2,0,13826
04-01-2021,FJB/9886/SBY/PL/9677,SBY5853399,LEXI,2018,18808,Repair,Kritis,Perlu Penyetelan,10,1686,3,2,6269
04-01-2021,FJB/9279/SBY/PL/1738,SBY3556733,ALL-NEW-NMAX,2021,0,Kupon Gratis I (DUA),Baik,Baik,2,0,0,0,0
